pCTR_no_LacI_with_LacI	Un_nicked_LacI	Un_nicked_with_LacI	Lead_nicks_with_Geminin	Lag_nicks	Lead_nicks	Lead_nicks_with_BRC	Name
#!{Type}E	E	E	E	E	E	E	T
NaN	NaN	NaN	-1.96825671195984	NaN	NaN	NaN	ap2m1
NaN	NaN	NaN	-2.07456254959106	NaN	NaN	NaN	apc1
NaN	NaN	NaN	-1.96090793609619	NaN	NaN	NaN	apc4
NaN	NaN	NaN	-1.63756465911865	NaN	NaN	NaN	apc5
0.501113295555115	-1.58100533485413	1.48532104492188	-0.192771479487419	-0.858935356140137	0.150859206914902	0.495418727397919	apc7
0.766619861125946	-0.813386201858521	-0.204978287220001	-1.77267515659332	0.373145252466202	0.647154688835144	1.00411999225616	apex1
-1.16013383865356	-1.50439846515656	-0.300732225179672	0.749289274215698	0.486397564411163	0.922662019729614	0.806915640830994	aptx
0.612615525722504	-0.960639834403992	-0.763844013214111	0.183710590004921	-1.15870678424835	0.512130677700043	1.57473385334015	aqr
-1.06582355499268	NaN	NaN	-2.17569971084595	-0.521950125694275	0.387023627758026	1.20075011253357	ar19b
-1.38761615753174	NaN	-0.481273502111435	-2.03558921813965	-0.0349607728421688	1.07306897640228	0.830781519412994	arc1a
0.99587869644165	NaN	NaN	-1.98393905162811	0.724384248256683	-0.903954565525055	-0.816308319568634	arf1
-0.641218245029449	NaN	-0.840695202350616	-1.12991797924042	1.34018802642822	0.616934478282928	0.654709041118622	ari1a
NaN	NaN	NaN	-2.19170022010803	NaN	NaN	NaN	ari2
NaN	NaN	NaN	-1.96670627593994	NaN	NaN	NaN	ari3a
NaN	NaN	NaN	-2.03497266769409	NaN	NaN	NaN	ari3b
0.298514425754547	-2.16773271560669	0.61960905790329	-0.232211500406265	0.658848881721497	0.43662241101265	0.386349350214005	arid2
NaN	NaN	NaN	-1.76631498336792	NaN	NaN	NaN	ark72
NaN	NaN	NaN	-2.00096154212952	NaN	-0.70710676908493	0.70710676908493	arl3
NaN	NaN	NaN	-2.35681104660034	NaN	-0.70710676908493	0.70710676908493	arly
1.16326141357422	1.26162719726563	-1.31514871120453	0.552798867225647	-0.32519069314003	-0.5688796043396	-0.768468499183655	arp10
-0.810445249080658	NaN	-0.197506710886955	-1.41780269145966	0.338506162166595	1.0200092792511	1.06723916530609	arp2a
0.429645001888275	NaN	-0.376790463924408	-1.85982370376587	0.313242137432098	0.727384150028229	0.766342878341675	arp3
NaN	NaN	-0.829194724559784	-1.94636678695679	-0.301947355270386	-0.323676615953445	1.45481872558594	arp5l
NaN	NaN	NaN	-2.43995928764343	NaN	NaN	NaN	arp6
-0.998794913291931	NaN	-0.773983776569366	-1.7580441236496	-0.356261819601059	1.13533246517181	0.993707954883575	arpc2
-1.1493843793869	NaN	NaN	-2.39660000801086	-0.313849896192551	0.226697981357574	1.23653626441956	arpc3
-1.17563998699188	NaN	NaN	-2.12390375137329	-0.206651642918587	0.134458869695663	1.24783277511597	arpc4
-1.59897947311401	NaN	0.00607256544753909	-2.25985264778137	-0.00595266791060567	1.08667206764221	0.512187540531158	arpc5
-0.75046294927597	-1.82224380970001	0.00662152748554945	0.0616367943584919	0.753053247928619	0.951882660388947	0.799512505531311	as1ab
-0.70710676908493	NaN	NaN	-1.87460112571716	NaN	0.70710676908493	NaN	ash2l
NaN	NaN	NaN	-1.58699953556061	NaN	NaN	NaN	asna
